     0.093      1.614     -0.686     -1.855     -0.405     -0.934      0.500      2.005      2.258     -0.500 95577224
    -3.869      0.885          *      0.162     -1.351      2.816      0.500     -0.524     -0.742      0.500 90579940
     0.567     -1.019      0.898     -0.387     -0.420     -1.850      0.500     -0.268      0.258     -0.500 91712918
    -1.055     -1.019     -0.515     -0.779      1.007     -2.850     -0.500     -0.757     -0.742     -0.500 93712210
     0.567          *     -1.857      0.939     -0.079     -1.850     -0.500     -1.304     -2.242     -0.500 91712914
     0.241     -1.019      0.659     -0.125      1.404      0.983      0.500     -1.304     -0.742      0.500 57215910
     0.874     -1.019     -0.037     -0.116      0.184      0.650     -0.500     -0.524      1.258      0.500 91573316
     1.149     -0.020      1.812      1.185     -0.076     -1.184     -0.500     -0.444     -0.742     -0.500 91579998
    -0.288     -1.019      0.430      0.407     -2.446      2.233     -0.500      0.409      0.758     -0.500 92570238
     0.123     -0.717      0.214      1.185     -0.250      0.566      0.500     -0.118     -0.742     -0.500 95573611
     0.329      0.160      0.188      0.939      0.545     -1.434     -0.500      1.008      0.258     -0.500 91886908
     0.611      0.271     -0.700      0.694     -1.196      2.150     -0.500      0.693      0.258      0.500 94576384
    -0.129     -0.686     -0.038     -1.251      0.189     -2.184     -0.500      0.249      0.258     -0.500 91884927
    -0.017      1.461     -0.687      1.185     -1.629     -0.100     -0.500     -0.064     -0.742     -0.500 91506686
     0.713      0.795     -0.024      0.079      0.029     -0.267      0.500      0.012     -0.242     -0.500 99578948
     0.517     -0.114      1.574      0.653      1.685      2.566     -0.500     -0.268     -0.742     -0.500 91573944
    -0.270      0.847      0.205      0.653     -0.960     -0.767      0.500     -0.118     -0.742     -0.500 97572003
     0.884     -0.416      0.660      0.006      0.842     -0.850     -0.500      1.315      0.258      0.500 99577322
    -0.016      0.636     -1.151      0.162      1.067     -0.267      0.500     -0.268     -1.742     -0.500 97570278
